question,Subject,answer1,answer2,answer3,answer4,Correct_answer
В каком городе не работал великий композитор 18-го века Кристоф Виллибальд Глюк?,Искусство,Милан,Берлин,Вена,Париж,Берлин
Кто первым доказал периодичность появления комет?,Наука,Галилей,Галлей,Коперник,Кеплер,Галлей
"Про какую летнюю погоду говорят ""Вёдро"" ? ",Природа и животный мир,Теплая дождливая,Сухая ясная,Прохладная дождливая,Длительные заморозки,Сухая ясная
С какой из этих стран Чехия не граничит?,География,Германия,Венгрия,Австрия,Польша,Венгрия
Где в основном проживают таты?,История,Татарстан,Дагестан,Башкортостан,Туркменистан,Дагестан
"Как, в переводе на русский язык, звучало бы название фильма 'Мимино'? ",Фильмы,Медведь,Сокол,Гора,Любовь,Сокол
"Как называется курс парусного судна, совпадающий с направлением ветра? ",Разное,Бейдевинд,Фордевинд,Галфинд,Бакштаг,Фордевинд
"На вершине какой горы расположена сорокаметровая статуя Христа, являющаяся символом Рио-де-Жанейро? ",География,Тупунгато,Корковадо,Уаскаран,Ильимани,Корковадо
"Какое брюхо, согласно спорной русской пословице, глухо к ученью? ",Разное,Толстое,Сытое,Тощее,Пустое,Сытое
Благодаря какому животному Шурик познакомился с Ниной в к/ф 'Кавказская пленница'?,Фильмы,Верблюд,Осел,Конь,Ежик,Осел
Что из этого является видом ткани?,Разное,Креп-лизет,Креп-жоржет,Креп-мюзет,Креп-жаннет,Креп-жоржет
Как называется комедия В. В. Маяковского?,Литература,Пена,Клоп,Жук,Паук,Клоп
Кто является чемпионом гонок 'Формулы-1' 1998-99 г.г.?,Спорт,М. Шумахер,Хаккинен,Барикелло,Кулхард,Хаккинен
Чье произведение легло в основу оперы Дж. Верди 'Травиата'?,Литература,В. Гюго,А.Дюма-сына,О. Бальзака,Г. Флобера,А.Дюма-сына
Какой из этих городов - родина Казановы?,История,Неаполь,Венеция,Милан,Флоренция,Венеция
Кто считается основоположником кубизма?,Искусство,В. Кандинский,П. Пикассо,Ф. Леже,К. Малевич,П. Пикассо
Территория какой из этих стран - наибольшая?,География,Германия,Япония,Италия,Финляндия,Япония
Какая из этих кислот является витамином?,Наука,Молочная,Никотиновая,Яблочная,Янтарная,Никотиновая
Какая очередность этих трех букв в русском алфавите правильная?,Наука,Ь Ы Ъ,Ъ Ы Ь,Ъ Ь Ы,Ь Ъ Ы,Ъ Ы Ь
Какая березка стояла во поле?,Разное,Высокая,Кудрявая,Зеленая,Засохшая,Кудрявая
Кто из этих знаменитых людей не является тезкой остальных?,Разное,Боярский,Лужков,Лермонтов,Горбачев,Лужков
Какой ресторан находится на углу Старого и Нового Арбата?,Разное,Пекин,Прага,Белград,София,Прага
Какой вид березы славится красивой древесиной?,Природа и животный мир,Курильская,Карельская,Корейская,Канадская,Карельская
Какая поэма есть у В. В. Маяковского?,Литература,"""Свирель-губы""","""Флейта-позвоночник"""," ""Скрипка-ладони"""," ""Барабан-нервы""","""Флейта-позвоночник"""
Какая из этих рек впадает в Азовское море?,География,Днестр,Дон,Южный Буг,Днепр,Дон
Кто из этих великих футболистов прошлого был защитником?,Спорт,Платини,Беккенбауэр,Гарринча,Эйсебио,Беккенбауэр
Какую икру больше всего любил Джеймс Бонд?,Фильмы,Осетровую,Белужью,Севрюжью,Стерляжью,Белужью
"Какой цвет волос был у возлюбленной Тристана Изольды, если верить Бедье? ",Литература,Рыжий,Белокурый,Каштановый,Вороново крыло,Белокурый
У автомобилей какой из этих стран международный регистрационный знак DZ?,Разное,Белиз,Алжир,Бенин,Замбия,Алжир
Одним из направлений какой религиозной философии является учение дзен?,Наука,Иудаизм,Буддизм,Индуизм,Даосизм,Буддизм
В каком городе в 1932 году был проведён первый международный кинофестиваль?,Фильмы,Канн,Венеция,Париж,Берлин,Венеция
С какой фигуры начинаются соревнования по городошному спорту?,Спорт,Пулемётное гнездо,Пушка,Артиллерия,Часовые,Пушка
Сколько раз в сутки подзаводят часы на Спасской башне московского Кремля?,Разное,Один,Два,Три,Четыре,Два
Кто получил первую Нобелевскую премию по литературе?,Литература,Романист,Поэт,Драматург,Эссеист,Поэт
"С какой буквы начинаются слова, опубликованные в 16 м томе последнего издания Большой Советской энциклопедии? ",Литература,Н,М,О,П,М
"Как назвали первую кимберлитовую трубку, открытую Ларисой Попугаевой 21 августа 1954 года? ",Разное,«Удачная»,«Зарница»,«Мир»,«Советская»,«Зарница»
В честь какого растения область Фриули-Венеция-Джулия в Италии ежегодно проводит трёхмесячный фестиваль?,Природа и животный мир,лук,спаржа,фасоль,артишок,спаржа
"Как ""в народе"" называют химическое соединение - тринитротолуол? ",Наука,Пластид,Тротил,Гексаген,Динамит,Тротил
"У кого из ""вампиров"" кровь пьют только самки? ",Природа и животный мир,Летучие мыши,Комары,Пиявки,Клещи,Комары
В каком российском городе к его 300-летию был открыт памятник Зайцу?,География,Москва,Санкт-Петербург,Воронеж,Тула,Санкт-Петербург
Для чего зайцу его большие уши?,Природа и животный мир,Для красоты,"Они как рупоры, зайцу слышны даже самые тихие шорохи",Обмахиваться в жару,Для устрашения врагов-хищников,"Они как рупоры, зайцу слышны даже самые тихие шорохи"
Что обычно охотники замечают за зайцем?,Природа и животный мир,Он трубит,Он барабанит,Он бренчит,Он напевает,Он барабанит
Что при травле зайца кричали охотники?,Природа и животный мир,«Агу!»,«Ату!»,«А-та-та!»,«Ура!»,«Ату!»
Какого зайца НЕ бывает?,Природа и животный мир,Тумак,Чувак,Русак,Беляк,Чувак
Кто такой агути?,Природа и животный мир,Сутулый заяц,Горбатый заяц,Лысый заяц,Хромой заяц,Горбатый заяц
Заячьей картошкой в народе называют:,Природа и животный мир,Морковь,Гриб дождевик,Капусту,Кору деревьев,Гриб дождевик
"В русских сказках лисичка-сестричка, коза-дереза, а зайчик-... Кто? ",Литература,Попугайчик,Побегайчик,Петляйчик,Обгрызайчик,Побегайчик
Какая российская автономия полностью окружена Краснодарским краем?,География,Хакасия,Адыгея,Индушетия,Удмуртия,Адыгея
"Где жил старик со своею старухой из сказки А.С. Пушкина ""Сказка о рыбаке и рыбке""? ",Литература,в избушке,в землянке,в лачужке,в шалаше,в землянке
"Какой рыболовной снастью ловил рыбу старик из сказки А.С. Пушкина ""Сказка о рыбаке и рыбке""? ",Литература,Удочкой,Невод,Бреднем,Сачком,Невод
"За какую плату работал Балда у попа в сказке А.С. Пушкина ""Сказка о попе и работнике его Балде""? ",Литература,Три подзатыльника,Три щелчка по лбу,Три поцелуя,Три рубля,Три щелчка по лбу
"Сколько лет рыбачил старик из сказки А.С.Пушкина ""Сказка о рыбаке и рыбке""? ",Литература,43,33,23,53,33
"Какую позицию на поле называют ""голкипер""? ",Спорт,Защитник,Вратарь,Полузащитник,Нападающий,Вратарь
Официальный язык государства Израиль?,География,Фарси,Иврит,Русский,Арабский,Иврит
Как называется детеныш норки?,Природа и животный мир,Котенок,Щенок,Белек,Норик,Щенок
В артериях кровь движется...?,Разное,Сверху вниз,От сердца к органам,От органов к сердцу,Снизу вверх,От сердца к органам
От какого дерева появляются желуди?,Природа и животный мир,Каштан,Дуб,Ясень,Клен,Дуб
Где муха-цокотуха нашла денежку?,Литература,На лугу,В поле,В лесу,Во дворе,В поле
"Как звали крысу в сказке ""Золотой ключик""? ",Литература,Чучундра,Шушара,Мымра,Шуршелла,Шушара
Маленький мук из сказки был...?,Литература,Ребенком,Карликом,Лиллипутом,Подростком,Карликом
"Чем промышлял Дуремар из сказки ""Золотой ключик""? ",Литература,Лягушками,Пиявками,Бабочками,Стрекозами,Пиявками
Где сидит Доктор Айболит?,Литература,В Ленинграде,Под деревом,В домике,В больнице,Под деревом
Что такое обувница?,Разное,Воровка,Предмет мебели для обуви,Ложка для обуви,Работница обувной,Предмет мебели для обуви
Корюшка - это...,Природа и животный мир,Птичка,Рыбка,Крючок,Растение,Рыбка
В какое море впадает Жёлтая река?,География,Ионическое море,Жёлтое море,Чёрное море,Каспийское море,Жёлтое море
Кто был главным врагом трех поросят?,Литература,Троллль,Волк,Мышь,Мясник,Волк
"Какая планета совершает 1 оборот вокруг солнца со скоростью 47,9 км/с ",Наука,Марс,Меркурий,Юпитер,Сатурн,Меркурий
Какого города нет в Казахстане?,География,Шымкент,Самарканд,Караганда,Пвлодар,Самарканд
Кем по образованию был Антон Павлович Чехов?,Литература,Юрист,Врач,Учитель,Дипломат,Врач
Какой из театров Москвы носит имя А.П. Чехова?,Искусство,Большой театр,МХАТ (МХТ),Малый театр,Театр «Сатирикон»,МХАТ (МХТ)
Как звали тонкого в рассказе А.П. Чехова «Толстый и тонкий»?,Литература,Акакий,Порфирий,Нафанаил,Ермолай,Порфирий
Кому из обитателей палаты №6 в одноименном рассказе А.П.Чехова разрешалось выходить из флигеля и больничного двора на улицу?,Литература,Громову,Моисейке,Сортировщику,Паралитику,Моисейке
Сестры с каким именем не было среди героинь чеховских «Трёх сестёр»?,Литература,Мария,Анна,Ирина,Ольга,Анна
Какой из этих литературных шедевров с четвероногими героями принадлежит перу А.П. Чехова?,Литература,«Белый пудель»,«Каштанка»,«Му-му»,«Белый Бим Чёрное Ухо»,«Каштанка»
Рассказ А.П.Чехова о несчастном ревматике.,Литература,Случай из практики,Сапоги,Хирургия,Припадок,Сапоги
В какой пьесе А.П. Чехова герой обращался к шкафу с эпитетом «многоуважаемый»?,Литература,«Три сестры»,«Вишневый сад»,«Чайка»,«Дядя Ваня»,«Вишневый сад»
